Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A2        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A3        |                     |IPAD     |MGTRXP3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A4        |                     |IPAD     |MGTRXN3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|A5        |                     |         |MGTAVTTRCAL_115           |         |           |              |          |         |           |         |         |          |           |                |
|A6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A7        |                     |IOBM     |IO_L3P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|A8        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|A9        |                     |IOBS     |IO_L2N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|A10       |                     |IOBM     |IO_L2P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|A11       |                     |IOBM     |IO_L14P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A12       |                     |IOBS     |IO_L14N_VREF_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|A13       |                     |         |VCCO_26                   |         |           |26            |          |         |           |         |2.50     |          |           |                |
